host_id,id,earnings
6048193,2,1408
6055609,1,32305
6057270,9,240390
6071207,1,4066
6074635,1,1300
6075624,1,750
6077392,1,30810
6077682,1,5406
6085421,1,0
6089751,1,0
6090865,1,12600
6092480,3,86160
6099313,1,40
6099660,7,57570
6099977,1,9000
6107595,1,46800
6116243,1,4216
6125803,1,0
6131609,1,0
6135248,1,5100
6137063,2,2230
6141122,1,0
6141426,1,0
6147495,1,0
6152155,1,0
6152293,2,7700
6162822,1,4200
6164662,3,1080
6166581,5,372316
6172706,1,7410
6182351,1,44550
6184290,2,33054
6193643,1,0
6195296,2,10164
6211121,1,920
6219585,2,39000
6221867,1,600
6227060,5,474936
6237684,1,4176
6238439,1,396
6251419,1,6600
6251533,1,1435
6267314,1,1440
6268084,2,43484
6283535,1,65780
6283549,2,191670
6284842,1,0
6289073,1,26320
6289647,1,294
6292884,1,200
6299879,1,0
6299958,3,37150
6300703,1,20700
6310293,1,3510
6316902,1,336
6324464,1,16906
6327143,1,60
6328656,1,3600
6336105,1,1530
6344759,1,294
6350600,1,440
6355311,1,0
6355566,3,6232
6356319,1,1720
6361457,1,49914
6362995,1,62220
6381793,1,9711
6383484,1,1350
